,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETEY PABLO,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETRA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PHILLIP PHILLIPS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PHOEBE SNOW,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PLACIDO DOMINGO,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PLAIN WHITE T'S,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PLAYER,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POCO,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POOH SHIESTY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POSTAL SERVICE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POWERMAN 5000,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PRETTY RICKY,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PSYCHEDELIC FURS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
QUAD CITY DJ'S,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
QUARTERFLASH,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
QUEEN LATIFAH,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
R. KELLY & PUBLIC ANNOUNCEMENT,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAKIM,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RALPH TRESVANT,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAMMSTEIN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAMONES,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAY BOLTZ,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAY LYNCH,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"RAY PARKER, JR.",1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"RAY PARKER, JR. & RAYDIO",1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAYDIO,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
REBECCA ST. JAMES,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
REGINA BELLE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICH THE KID,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICHARD SIMMONS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICK WAKEMAN,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROB BASE & DJ E-Z ROCK,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBERT JOHNSON,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBERT PLANT & ALLISON KRAUSS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBERTA FLACK & DONNY HATHAWAY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBIN THICKE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBYN,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROGER,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROGER WHITTAKER,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROME,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROXY MUSIC,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUFF RYDERS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RYAN CABRERA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SCANDAL,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SCOTT STAPP,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SELAH,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SELENA GOMEZ,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEMISONIC,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEPULTURA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEVEN MARY THREE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEX PISTOLS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHABBA RANKS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAWN COLVIN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAWN MULLINS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHEILA E,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHYNE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SILK SONIC,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SISTER HAZEL,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SISTER SLEDGE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SIXPENCE NONE THE RICHER,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SLAVE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SMOKEY ROBINSON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SMOKIE NORFUL,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SNOW,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SOCIAL DISTORTION,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SOPHIE B. HAWKINS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SOUL FOR REAL,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SOUNDS OF BLACKNESS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SQUEEZE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ST. LUNATICS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STABBING WESTWARD,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEEL PULSE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVE EARLE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVIE RAY VAUGHAN AND DOUBLE TROUBLE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STORY OF THE YEAR,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUMMER WALKER,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TAME IMPALA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TAYLOR HICKS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TECH N9NE,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TECHNOTRONIC,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TEENA MARIE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TEMPLE OF THE DOG,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TEN YEARS AFTER,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TENACIOUS D,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE A*TEENS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BREEDERS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BYRDS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CARDIGANS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CHIEFTAINS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CRYSTAL METHOD,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE D.O.C.,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE DREAM,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE FABULOUS THUNDERBIRDS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE FLOATERS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE GRASSROOTS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE HIGHWAYMEN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE HONEYDRIPPERS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE LEMONHEADS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE MAMAS & THE PAPAS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE MOTELS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE OFFSPRING,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE PLATTERS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE POWER STATION,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE RED JUMPSUIT APPARATUS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE REMBRANDTS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE ROBERTSONS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE SUNDAYS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE VERVE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE VERVE PIPE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE-DREAM,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THEY MIGHT BE GIANTS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TIL TUESDAY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TIMBALAND,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TIMBALAND AND MAGOO,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOADIES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOM PETTY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOM TOM CLUB,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TONIC,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TONY ORLANDO & DAWN,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TONY RICH PROJECT,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TORY LANEZ,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOVE LO,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRAPT,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TY DOLLA $IGN,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TY HERNDON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TYLER CHILDERS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
UNDEROATH,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
US3,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VANESSA CARLTON,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VANGELIS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VAUGHAN BROTHERS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VITAMIN C,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VOLBEAT,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
W.A.S.P.,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WADE HAYES,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WALK THE MOON,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WEATHER REPORT,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WENDY CARLOS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WILD CHERRY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WRECKX 'N' EFFECT,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WYNTON MARSALIS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
X AMBASSADORS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YAZ,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YEAH YEAH YEAHS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YOUNG BUCK,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZAPP & ROGER,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZARA LARSSON,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZHANE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
